sequence,source_url,slug,title,title_source,banner_filename,banner_path,seed_order,scheduled_at,source_kind,post_title,seo_title,eyebrow
1,https://kangoopouches.co.uk/blog/,blog-archive,Kangoo Pouches Blog,live-title,01-blog-archive.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\01-blog-archive.png,,,workbook-live,,,
2,https://kangoopouches.co.uk/blog/nicotine-pouches-vs-smoking/,nicotine-pouches-vs-smoking,Nicotine Pouches vs Smoking,live-title,02-nicotine-pouches-vs-smoking.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\02-nicotine-pouches-vs-smoking.png,,,workbook-live,,,
3,https://kangoopouches.co.uk/blog/do-nicotine-pouches-expire/,do-nicotine-pouches-expire,Do Nicotine Pouches Expire,live-title,03-do-nicotine-pouches-expire.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\03-do-nicotine-pouches-expire.png,,,workbook-live,,,
4,https://kangoopouches.co.uk/blog/best-nicotine-pouches-uk/,best-nicotine-pouches-uk,Best Nicotine Pouches UK (2026) - Top Picks Ranked,live-title,04-best-nicotine-pouches-uk.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\04-best-nicotine-pouches-uk.png,,,workbook-live,,,
5,https://kangoopouches.co.uk/blog/strongest-nicotine-pouches-uk/,strongest-nicotine-pouches-uk,Strong Nicotine Guide,live-title,05-strongest-nicotine-pouches-uk.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\05-strongest-nicotine-pouches-uk.png,,,workbook-live,,,
6,https://kangoopouches.co.uk/blog/zyn-vs-velo/,zyn-vs-velo,Zyn vs Velo,live-title,06-zyn-vs-velo.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\06-zyn-vs-velo.png,,,workbook-live,,,
7,https://kangoopouches.co.uk/blog/nicotine-pouches-for-beginners/,nicotine-pouches-for-beginners,Nicotine Pouches for Beginners,live-title,07-nicotine-pouches-for-beginners.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\07-nicotine-pouches-for-beginners.png,,,workbook-live,,,
8,https://kangoopouches.co.uk/blog/best-caffeine-pouches-uk/,best-caffeine-pouches-uk,Best Caffeine Pouches UK,live-title,08-best-caffeine-pouches-uk.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\08-best-caffeine-pouches-uk.png,,,workbook-live,,,
9,https://kangoopouches.co.uk/blog/how-to-use-nicotine-pouches/,how-to-use-nicotine-pouches,How to Use Nicotine Pouches,live-title,09-how-to-use-nicotine-pouches.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\09-how-to-use-nicotine-pouches.png,,,workbook-live,,,
10,https://kangoopouches.co.uk/blog/how-long-do-nicotine-pouches-last/,how-long-do-nicotine-pouches-last,How Long Do Nicotine Pouches Last,live-title,10-how-long-do-nicotine-pouches-last.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\10-how-long-do-nicotine-pouches-last.png,,,workbook-live,,,
